CompanyGUID,CompanyName,CustomerID,CustomerName,siNumber,siDate,siGuid,Recipient,Line1,Line2,City,State,Zip,CustomerPO,ShipVia
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","CUMMINGS","Cummings Construction","CCM4005","3/1/12","{275D5458-E8B7-4378-A169-603F1991E12F}","Cunningham Construction","4785 Satellite Road","","Duluth","GA","30093","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SEAWRIGHT","Seawright Sod and Lawn Care","10225","3/1/12","{C429109A-89A2-432C-BEAD-31AF444B56A4}","Seawright Sod and Lawn Care","1505 Ponce De Leon","","Decatur","GA","30311","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","CHAPPLE","Chapple Law Offices","10256","3/1/12","{7FBE9FDB-86E5-4E5E-B730-0266FC5F1299}","Chapple Law Offices","12554 Lawrenceville Hwy.","","Lilburn","GA","30095-1120","56123","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","CCM4002","3/2/12","{9AF85A92-BECD-4CA1-ADBE-C821DB1E0B7B}","Harding Consulting","2300 Club Drive","Suite A","Norcross","GA","30093","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","CCM4002","3/2/12","{9AF85A92-BECD-4CA1-ADBE-C821DB1E0B7B}","Harding Consulting","2300 Club Drive","Suite A","Norcross","GA","30093","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","CCM4002","3/2/12","{9AF85A92-BECD-4CA1-ADBE-C821DB1E0B7B}","Harding Consulting","2300 Club Drive","Suite A","Norcross","GA","30093","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","FREEMOND","Freemond Country Club","10337","3/2/12","{32CC9217-652F-46BA-B823-8520AB4620CC}","Freeman Enterprises","9845 Willow Trail Dr","","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","HOLLAND","Holland Properties, Inc.","10211","3/2/12","{38899330-33D4-40FB-9AD8-465A581C732D}","Holland Properties, Inc.","1577 Johnson Ferry Road","","Marietta","GA","30062","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","EVERLY","Everly Property Management","10301","3/3/12","{69709544-E9D0-41B6-BD8A-C1FCF9BFE67D}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","FREEMOND","Freemond Country Club","10302","3/3/12","{7C3FE95D-0654-40C8-AA1C-D0CF4FADB8D1}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SNOWDEN","Snowden Interior Design","10303","3/3/12","{AF170CB8-4219-41BF-81CF-06DA6CB7128B}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","MCKAY","McKay Construction","10323","3/3/12","{0CB16224-9CF8-4831-AD5B-D85F6E468195}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","HOLLAND","Holland Properties, Inc.","10304","3/4/12","{2A3658A7-878F-4CC0-A429-8247073AB189}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARCHER","Archer Scapes and Ponds","10329","3/4/12","{A19ED889-D40D-4F8E-9A1D-8DDBA1D518C5}","Spencer Software","778 Oakland Parkway","","Alpharetta","GA","30092","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SAIA","Saia's Neighborhood Nursery","10330","3/4/12","{93E8AFCF-E224-4B6F-BE79-4D32A0A8833B}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ROBERTS","Roberts Learning Centers","10331","3/4/12","{C48D2A6C-4BCF-4F01-A1DC-10B79FA72A62}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ALDRED","Aldred Builders, Inc.","10332","3/4/12","{83C5F3C0-D4BE-40D3-8967-8BEE45D2C680}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","GORDON","Gordon Park & Recreation Center","10333","3/4/12","{E1F633D5-C245-4C90-83A0-D7614DF23534}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SNYDER","Snyder Securities","10334","3/4/12","{3EE445EB-5C75-4BB4-9E4F-16B6BB2C0AF8}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","WILLIAMS","Williams Industries","10312V","3/5/12","{12C903FA-BA60-4725-B3E4-B18AF8A7F1E1}","Williams Industries","4552 Peachtree Industrial Blvd","","Chamblee","GA","30329","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","10336","3/5/12","{D8A90AF4-0BA5-44B5-8ABB-7EA5A420920E}","Harding Consulting","2300 Club Drive","Suite A","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","KENTON","Kenton Golf and Tennis Center","10338","3/6/12","{48CD8549-919C-47BC-B6D5-08F6D467C32A}","Kenton Golf and Tennis Center","1969 Fort Solitude Circle","","Centerville","GA","31028","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","HOLLAND","Holland Properties, Inc.","e2","3/6/12","{A18F7591-1092-490A-A0C2-836F280CD770}","Holland Properties, Inc.","1577 Johnson Ferry Road","","Marietta","GA","30062","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","FREEMOND","Freemond Country Club","10302V","3/7/12","{91024DF7-4B36-46E0-92B0-5DCD2F7B4DE4}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","HOLLAND","Holland Properties, Inc.","CCM4010","3/7/12","{143BF033-1276-4D4A-B4B5-CCA212806CCB}","Holt Properties, Inc.","1577 Johnson Ferry Road","","Marietta","GA","30062","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","STEVENSON","Stevenson Leasing, Inc.","10318","3/8/12","{323576A5-A8C9-433B-9B84-10D4C7DE2E63}","Stevenson Leasing, Inc.","13554 Lawrenceville Hwy.","","Lilburn","GA","30095-1120","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","CCM4007","3/8/12","{3B6A12AE-8781-4240-BB26-8A0578735E8A}","Harding Consulting","2300 Club Drive","Suite A","Norcross","GA","30093","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","FROST","Frost Technology Park","10319","3/9/12","{666B27C1-98DB-4B8F-89E7-0BA3CCCEC27F}","Frost Technology Park","1492 Indian Trail","","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ROSE","Rose University","10320","3/9/12","{2245E6E7-0ECA-4540-90B6-D578B01FD610}","Rose University","4444 Peachtree Road NE","","Atlanta","GA","30333","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SMITH","Smith Family Garden Center","10305","3/10/12","{CA77E050-B0DD-4BD0-B301-F5BDCF47ECAB}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SNOWDEN","Snowden Interior Design","10306","3/11/12","{DF0897B7-1490-44ED-B49F-2BD13F4907E7}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","CANNON","Cannon Healthcare Center","10321","3/12/12","{0A227446-FC04-4877-92C3-EB10A0C7F6A1}","Cannon Healthcare Center","2300 Club Drive","Suite C","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","FREEMOND","Freemond Country Club","CCM4006","3/12/12","{EB6DF4AD-8D67-4C0E-BC94-2004E2508312}","Freeman Enterprises","9845 Willow Trail Dr","","Norcross","GA","30093","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","STEVENSON","Stevenson Leasing, Inc.","10118","3/12/12","{13EBDB17-46B3-404D-86B1-9A6A05644B3B}","Stevenson Leasing, Inc.","13554 Lawrenceville Hwy.","","Lilburn","GA","30095-1120","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","CUMMINGS","Cummings Construction","10307","3/13/12","{1109C551-2508-4681-9590-ED08DC6C72D2}","Cummings Construction","4785 Satellite Road","","Duluth","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","TACOMA","Tacoma Park Golf Course","10322","3/14/12","{FD4F0BA6-6482-407D-8850-9E602C41C01C}","Tacoma Park Golf Course","3545 The Experience Boulevard","","Duluth","GA","30029","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SAIA","Saia's Neighborhood Nursery","CCM4003","3/14/12","{53AABB89-99C0-4695-86A5-209C97F3515F}","","","","","","","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SAIA","Saia's Neighborhood Nursery","CCM4003","3/14/12","{53AABB89-99C0-4695-86A5-209C97F3515F}","","","","","","","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SAIA","Saia's Neighborhood Nursery","CCM4003","3/14/12","{53AABB89-99C0-4695-86A5-209C97F3515F}","","","","","","","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","GORDON","Gordon Park & Recreation Center","CCM4004","3/14/12","{11C30D7F-4C98-4E9F-B01E-BF5573912D5B}","","","","","","","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","GORDON","Gordon Park & Recreation Center","CCM4004","3/14/12","{11C30D7F-4C98-4E9F-B01E-BF5573912D5B}","","","","","","","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","CHAPPLE","Chapple Law Offices","10341","3/14/12","{754B70F3-FE33-459D-88C5-9E4A9B632CCC}","Chapman-Murphy Law Offices","12554 Lawrenceville Hwy.","","Lilburn","GA","30095-1120","56123","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","CM10226","3/15/12","{62E9AA9A-DDBF-4804-B8E5-B215F6FE4A3D}","Harding Consulting","2300 Club Drive","Suite A","Norcross","GA","30093","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","WILLIAMS","Williams Industries","10312","3/15/12","{5BFC2AED-3D7F-4A89-9012-0D5E451B23E1}","Williams Industries","4552 Peachtree Industrial Blvd","","Chamblee","GA","30329","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","HENTON","Henton Park Apartments","10310","3/15/12","{6D554B0F-B1FB-4CB1-9E0B-E66ABE8A6FE6}","Henton Park Apartments","15560 Harrison Road","","Atlanta","GA","30344","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","RETAIL","Retail (Cash) Sales","10308","3/15/12","{653CB3FF-6BF5-4304-A375-304412565D2F}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","RETAIL","Retail (Cash) Sales","10309","3/15/12","{F4292150-1798-4024-84BD-528EBEE61FFB}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","TEESDALE","Teesdale Real Estate","10311","3/15/12","{A3ADD0B3-3029-498D-94CD-BFDF2C43AA34}","Teesdale Real Estate","4555 Indian Lake Lane","","Marietta","GA","30069","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","FREEMOND","Freemond Country Club","10325","3/15/12","{7E28EFA5-2766-4653-A461-FC6F40F7006C}","Freeman Enterprises","9845 Willow Trail Dr","","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","CHAPPLE","Chapple Law Offices","10313","3/15/12","{415741AB-9258-4135-A1CE-477B3D1D4018}","Chapman-Murphy Law Offices","12554 Lawrenceville Hwy.","","Lilburn","GA","30095-1120","56123","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","10314","3/15/12","{C0ACB7F6-3655-4584-9963-42F2DF53B2FD}","Harding Consulting","2300 Club Drive","Suite A","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","MASON","Mason Office Park","10315","3/15/12","{617BFB71-D98C-4838-8227-A948D8568039}","Mason Office Park","4501 Peachtree Industrial","","Chamblee","GA","30329","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SEAWRIGHT","Seawright Sod and Lawn Care","10316","3/15/12","{54A8C46D-9530-4628-96A4-81B8F09FF552}","Seawright Rentals","1505 Ponce De Leon","","Decatur","GA","30311","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARCHER","Archer Scapes and Ponds","10317","3/15/12","{6B89D397-D153-465E-884D-B7F50A5B2BD8}","Spencer Software","778 Oakland Parkway","","Alpharetta","GA","30092","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","KENTON","Kenton Golf and Tennis Center","10324","3/15/12","{7E2D0A54-C108-4DEA-BF93-31922E9E29F0}","Kenton Golf and Tennis Center","1969 Fort Solitude Circle","","Centerville","GA","31028","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARCHER","Archer Scapes and Ponds","","3/15/12","{7622CD19-FB9D-4B72-B177-7127456CF3B4}","Spencer Software","778 Oakland Parkway","","Alpharetta","GA","30092","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SAIA","Saia's Neighborhood Nursery","","3/15/12","{40942FAC-FA44-4B90-B1A3-205853CFEEB5}","","","","","","","",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","MOSLEY","Mosley Country Club","","3/15/12","{E5FAB6B8-D451-455C-92A0-147F782115E3}","Mosley Country Club","1 Howell Walk","","Duluth","GA","30096","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","FRANKLIN","Franklin Botanical Gardens","10326","3/15/12","{911795D5-DB0E-4F34-8B38-DAF842AF78B8}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","TACOMA","Tacoma Park Golf Course","10327","3/15/12","{D063CD98-DCB3-42E0-B015-F19C6C7AEDA6}","Tacoma Park Golf Course","3545 The Experience Boulevard","","Duluth","GA","30029","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","FRANKLIN","Franklin Botanical Gardens","10328","3/15/12","{2CD2D935-08CA-46BD-A6E2-D66B4DE2CC0F}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","CANNON","Cannon Healthcare Center","10329","3/15/12","{D35BA9CA-7114-4840-AAA5-5B39D35DEEF8}","Cannon Healthcare Center","2300 Club Drive","Suite C","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","MOSLEY","Mosley Country Club","10344","3/15/12","{710EFAB3-3DAA-407A-931A-2B88F01B2339}","Mosley Country Club","1 Howell Walk","","Duluth","GA","30096","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","10339","3/15/12","{E1704D8C-A849-49C0-9F42-EE34ABA6AF8C}","Harding Consulting","2300 Club Drive","Suite A","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","FRANKLIN","Franklin Botanical Gardens","10340","3/15/12","{AE1B4713-312F-40B1-8FE2-42A9C4097725}","Franklin Botanical Gardens","4589 East Jefferson Blvd.","","Alpharetta","GA","30004","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","FREEMOND","Freemond Country Club","10343","3/15/12","{959C1773-4362-43DB-85C1-ED39CA8563AF}","Freeman Enterprises","9845 Willow Trail Dr","","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","10342","3/15/12","{3DCC4631-0FF2-499D-8646-2110961683E8}","Armstrong Landscaping","2300 Club Drive","Suite A","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","HOLLAND","Holland Properties, Inc.","","3/15/12","{02DD69A9-5BAD-415E-9112-2FC0EF76B762}","","","","","","","","None"
